company_name,nse_symbol,listing_date,issue_price,listing_price,issue_size_crores,QIB,HNI,RII,Total,pop_pct
Northern ARC Capital Limited,NORTHARC,2024-09-24,263,351.0,777.0,240.79,142.41,31.08,110.91,33.460076045627375
Western Carriers Limited,WCIL,2024-09-24,172,170.0,492.88,27.99,44.71,25.95,30.57,-1.1627906976744187
P N Gadgil Jewellers Limited,PNGJL,2024-09-17,480,834.0,1100.0,136.85,56.08,16.58,59.4,73.75
Tolins Tyres Limited,TOLINS,2024-09-16,226,227.0,230.0,25.42,27.41,21.52,23.89,0.4424778761061947
Bajaj Housing Finance Limited,BAJAJHFL,2024-09-16,70,150.0,6560.0,209.36,41.51,7.04,63.61,114.28571428571428
Kross Limited,KROSS,2024-09-16,240,240.0,500.0,23.32,22.24,10.76,16.81,0.0
Shree Tirupati Balajee Agro Trading Company Limited,BALAJEE,2024-09-12,83,92.9,169.65,150.87,210.12,73.22,124.75,11.927710843373502
Gala Precision Engineering Limited,GALAPREC,2024-09-09,529,750.0,167.93,232.54,414.62,91.95,201.41,41.77693761814745
Baazar Style Retail Limited,STYLEBAAZA,2024-09-06,389,389.0,834.68,81.83,59.43,9.12,40.66,0.0
Ecos (India) Mobility & Hospitality Limited,ECOSMOBLTY,2024-09-04,334,391.3,601.2,136.85,71.23,19.79,64.26,17.155688622754496
Premier Energies Limited,PREMIERENE,2024-09-03,450,991.0,2830.4,216.67,50.04,7.69,74.38,120.22222222222223
Orient Technologies Limited,ORIENTTECH,2024-08-28,206,290.0,214.76,189.9,300.6,66.87,151.71,40.77669902912621
Interarch Building Products Limited,INTERARCH,2024-08-26,900,1291.2,600.29,205.41,128.42,19.11,93.53,43.46666666666667
Saraswati Saree Depot Limited,SSDL,2024-08-20,160,200.0,160.01,64.12,358.65,61.88,107.52,25.0
Brainbees Solutions Limited,FIRSTCRY,2024-08-13,465,625.0,4193.73,19.3,4.68,2.31,12.22,34.40860215053764
Unicommerce eSolutions Limited,UNIECOM,2024-08-13,108,230.0,276.57,138.75,252.48,131.15,168.39,112.96296296296295
Ola Electric Mobility Limited,OLAELEC,2024-08-09,76,75.99,6145.56,5.31,2.4,3.92,4.27,-0.013157894736848839
Ceigall India Limited,CEIGALL,2024-08-08,401,413.0,1252.66,31.5,14.42,3.77,13.78,2.9925187032418954
Akums Drugs and Pharmaceuticals Limited,AKUMS,2024-08-06,679,725.0,1856.74,90.09,42.21,21.3,63.56,6.774668630338733
Sanstar Limited,SANSTAR,2024-07-26,95,106.4,510.55,145.68,136.5,24.23,82.99,12.000000000000007
Emcure Pharmaceuticals Limited,EMCURE,2024-07-10,1008,1325.05,1952.03,195.83,48.32,7.21,67.87,31.45337301587301
Bansal Wire Industries Limited,BANSALWIRE,2024-07-10,256,352.05,745.0,146.05,51.46,13.64,59.57,37.51953125000001
Vraj Iron & Steel Limited,VRAJ,2024-07-03,207,240.0,171.0,163.9,208.81,54.93,119.04,15.942028985507244
Allied Blenders and Distillers Limited,ABDL,2024-07-02,281,318.1,1500.0,50.37,32.4,4.51,23.55,13.202846975088974
Stanley Lifestyles Limited,STANLEY,2024-06-28,369,499.0,537.02,0.74,8.86,6.11,5.22,35.230352303523034
Vodafone Idea Ltd ,IDEA,2024-04-25,11,12.0,18000.0,17.56,4.13,0.92,6.36,9.090909090909092
Bharti Hexacom Ltd ,BHARTIHEXA,2024-04-12,570,755.2,4275.0,48.57,10.52,2.83,29.88,32.491228070175445
SRM Contractors Ltd ,SRM,2024-04-03,210,225.0,130.2,59.59,214.94,46.97,86.57,7.142857142857142
Krystal Integrated Services Ltd ,KRYSTAL,2024-03-21,715,795.0,300.12,7.33,43.91,3.32,13.21,11.188811188811188
Popular Vehicles & Services Ltd ,PVSL,2024-03-19,295,292.0,601.55,1.97,0.66,1.05,1.23,-1.0169491525423728
Gopal Snacks Ltd,GOPAL,2024-03-14,401,350.0,650.0,17.5,9.5,4.01,9.02,-12.718204488778055
J.G.Chemicals Ltd ,JGCHEM,2024-03-13,221,211.0,251.19,32.09,46.33,17.44,27.78,-4.524886877828054
R K Swamy Ltd ,RKSWAMY,2024-03-12,288,252.0,423.56,20.58,34.36,34.03,25.94,-12.5
Mukka Proteins Ltd ,MUKKA,2024-03-07,28,44.0,224.0,189.28,250.38,58.52,136.99,57.14285714285714
Exicom Tele-Systems Ltd ,EXICOM,2024-03-05,142,264.0,429.0,121.8,153.22,119.59,129.54,85.91549295774648
Platinum Industries Ltd ,PLATIND,2024-03-05,171,228.0,235.32,151.0,141.83,50.99,99.03,33.33333333333333
GPT Healthcare Ltd ,GPTHEALTH,2024-02-29,186,216.15,525.14,17.3,11.02,2.44,8.52,16.209677419354843
Juniper Hotels Ltd ,JUNIPER,2024-02-28,360,361.2,1800.0,0.0,0.06,0.52,0.11,0.3333333333333302
Vibhor Steel Tubes Limited,VSTL,2024-02-20,151,421.0,72.17,178.73,721.34,188.17,298.86,178.80794701986756
Entero Healthcare Solutions Limited,ENTERO,2024-02-16,1258,1245.0,1600.0,2.28,0.22,1.33,1.53,-1.0333863275039745
Jana Small Finance Bank Limited,JSFB,2024-02-14,414,396.0,570.0,38.75,25.05,5.46,18.5,-4.3478260869565215
Capital Small Finance Bank Limited,CAPITALSFB,2024-02-14,468,435.0,523.07,6.64,4.05,2.49,4.0,-7.051282051282051
Rashi Peripherals Limited,RPTECH,2024-02-14,311,335.0,600.0,143.66,62.75,10.44,59.71,7.717041800643088
Apeejay Surrendra Group (conglomerate),PARKHOTELS,2024-02-12,155,187.0,920.0,75.14,52.41,30.35,59.66,20.64516129032258
BLS E-Services Limited,BLSE,2024-02-06,135,309.0,309.29,123.3,300.14,237.0,162.47,128.88888888888889
Nova Agritech Limited,NOVAAGRI,2024-01-31,41,56.0,143.81,79.31,224.08,77.12,109.37,36.58536585365854
Epack Durable Limited,EPACK,2024-01-30,230,225.0,640.05,25.5,28.1,6.29,16.37,-2.1739130434782608
Medi Assist Healthcare Services Limited,MEDIASSIST,2024-01-23,418,465.0,1171.58,40.14,14.85,3.19,16.25,11.24401913875598
Jyoti CNC Automation Limited,JYOTICNC,2024-01-16,331,372.0,1000.0,44.13,36.48,26.17,38.53,12.386706948640484
Innova Captab Limited,INNOVACAP,2023-12-29,448,456.1,570.0,116.73,64.95,17.15,55.26,1.8080357142857193
Azad Engineering Limited,AZAD,2023-12-28,524,710.0,740.0,179.66,87.61,23.79,80.65,35.49618320610687
Happy Forgings Limited,HAPPYFORGE,2023-12-27,850,1001.25,1008.59,220.48,62.17,15.09,82.04,17.794117647058822
Credo Brands Marketing Limited,MUFTI,2023-12-27,280,282.0,549.78,104.95,55.52,19.94,51.85,0.7142857142857143
RBZ Jewellers Limited,RBZJEWEL,2023-12-27,100,100.0,100.0,13.43,9.27,24.74,16.86,0.0
Muthoot Microfin Limited,MUTHOOTMF,2023-12-26,291,278.0,960.0,17.47,13.2,7.61,11.52,-4.4673539518900345
Motisons Jewellers Limited,MOTISONS,2023-12-26,55,103.9,151.09,157.4,233.91,122.28,159.61,88.90909090909092
Suraj Estate Developers Limited,SURAJEST,2023-12-26,360,343.8,400.0,24.31,18.9,9.3,15.65,-4.499999999999997
Inox India Limited,INOXINDIA,2023-12-21,660,933.15,1459.32,147.8,53.2,15.3,61.28,41.38636363636363
Doms Industries Limited,DOMS,2023-12-20,790,1400.0,1200.0,115.97,66.51,69.67,93.52,77.21518987341773
India Shelter Finance Limited,INDIASHLTR,2023-12-20,493,612.7,1200.0,89.7,28.51,9.95,36.71,24.27991886409737
Flair Writing Instruments Limited,FLAIR,2023-12-01,304,503.0,593.0,115.6,33.37,13.01,46.68,65.46052631578947
Tata Technologies Limited,TATATECH,2023-11-30,500,1199.95,3042.51,203.41,62.11,16.5,69.43,139.99
Gandhar Oil Refineries Limited,GANDHAR,2023-11-30,169,295.4,500.69,129.0,62.23,28.95,64.07,74.79289940828401
Fedbank Financial Services Limited,FEDFINA,2023-11-30,140,137.75,1092.26,3.51,1.45,1.82,2.2,-1.607142857142857
Indian Renewable Energy Development Agency Limited (IREDA),IREDA,2023-11-29,32,50.0,2150.21,104.57,24.16,7.73,38.8,56.25
ASK Automotive Limited,ASKAUTOLTD,2023-11-15,282,304.9,833.91,142.41,35.47,5.7,51.14,8.120567375886518
Protean eGov Technologies Limited,PROTEAN,2025-02-06 00:00:00+05:30,792,792.0,489.95,46.94,31.62,8.93,23.86,0.0
